month,post_id,post_date,platform,post_url,tag_name,tag_category,report_dimension,reporting_priority,reach,impressions,clicks,engagement_rate,engagements_total
2026-05,18168305788426032,2026-05-28 12:20:02,instagram,https://www.instagram.com/reel/DY4clfgjLe_/,Holiday,Topic,org_topic,low,283,283,,1.77,5.0
2026-05,urn:li:ugcPost:7456064916563636224,2026-05-01 19:40:03,linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7456064916563636224,Video Short,Asset Type,content_format,low,438,674,21.0,,21.0
2026-05,urn:li:ugcPost:7456064916563636224,2026-05-01 19:40:03,linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7456064916563636224,,,,,438,674,21.0,,21.0
2026-05,urn:li:ugcPost:7457159767636078592,2026-05-04 20:10:36,linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7457159767636078592,Graphics Carousel,Asset Type,content_format,low,758,1137,367.0,,33.0
2026-05,urn:li:ugcPost:7457159767636078592,2026-05-04 20:10:36,linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7457159767636078592,FAQ/101 Webpage,Promo Content,content_type,medium,758,1137,367.0,,33.0
2026-05,7457523335770492928,2026-05-05 20:15:17,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7457523335770492928,Single Photo,Asset Type,content_format,low,304,470,12.0,,13.0
2026-05,7457523335770492928,2026-05-05 20:15:17,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7457523335770492928,,,,,304,470,12.0,,13.0
2026-05,7457523335770492928,2026-05-05 20:15:17,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7457523335770492928,Holiday,Topic,org_topic,low,304,470,12.0,,13.0
2026-05,7457862024555950081,2026-05-06 18:41:07,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7457862024555950081,Single Photo,Asset Type,content_format,low,477,754,29.0,,13.0
2026-05,7457862024555950081,2026-05-06 18:41:07,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7457862024555950081,,,,,477,754,29.0,,13.0
2026-05,7457862024555950081,2026-05-06 18:41:07,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7457862024555950081,Sabin Global Immunization,Team,team,medium,477,754,29.0,,13.0
2026-05,urn:li:ugcPost:7458538719189450752,2026-05-08 15:30:03,linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7458538719189450752,Video Short,Asset Type,content_format,low,737,1112,59.0,,38.0
2026-05,urn:li:ugcPost:7458538719189450752,2026-05-08 15:30:03,linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7458538719189450752,,,,,737,1112,59.0,,38.0
2026-05,urn:li:ugcPost:7458538719189450752,2026-05-08 15:30:03,linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7458538719189450752,,,,,737,1112,59.0,,38.0
2026-05,7460005942672392193,2026-05-12 16:40:17,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7460005942672392193,,,,,435,716,12.0,,18.0
2026-05,7460005942672392193,2026-05-12 16:40:17,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7460005942672392193,,,,,435,716,12.0,,18.0
2026-05,7460005942672392193,2026-05-12 16:40:17,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7460005942672392193,,,,,435,716,12.0,,18.0
2026-05,urn:li:ugcPost:7460388877191778304,2026-05-13 18:01:55,linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7460388877191778304,Photo Carousel,Asset Type,content_format,low,2283,3380,937.0,,110.0
2026-05,urn:li:ugcPost:7460388877191778304,2026-05-13 18:01:55,linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7460388877191778304,,,,,2283,3380,937.0,,110.0
2026-05,urn:li:ugcPost:7460778466901192705,2026-05-14 19:50:01,linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7460778466901192705,Video Short,Asset Type,content_format,low,2248,3291,353.0,,89.0
2026-05,urn:li:ugcPost:7460778466901192705,2026-05-14 19:50:01,linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7460778466901192705,,,,,2248,3291,353.0,,89.0
2026-05,urn:li:ugcPost:7461149570664710144,2026-05-15 20:24:39,linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7461149570664710144,Video Short,Asset Type,content_format,low,254,424,16.0,,10.0
2026-05,7462952856493379584,2026-05-20 19:50:16,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7462952856493379584,Single Photo,Asset Type,content_format,low,564,807,27.0,,14.0
2026-05,7462952856493379584,2026-05-20 19:50:16,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7462952856493379584,Sabin Global Immunization,Team,team,medium,564,807,27.0,,14.0
2026-05,7463217102074675201,2026-05-21 13:20:17,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7463217102074675201,,,,,401,614,17.0,,18.0
2026-05,7463217102074675201,2026-05-21 13:20:17,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7463217102074675201,Webinar,Promo Content,content_type,medium,401,614,17.0,,18.0
2026-05,7463217102074675201,2026-05-21 13:20:17,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7463217102074675201,GCE/Boost,Team,team,medium,401,614,17.0,,18.0
2026-05,7463217102074675201,2026-05-21 13:20:17,linkedin,https://www.linkedin.com/feed/update/urn:li:share:7463217102074675201,Sabin Global Immunization,Team,team,medium,401,614,17.0,,18.0
2026-05,urn:li:ugcPost:7463688915464564737,2026-05-22 20:35:06,linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7463688915464564737,,,,,598,820,26.0,,19.0
2026-05,urn:li:ugcPost:7463688915464564737,2026-05-22 20:35:06,linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7463688915464564737,,,,,598,820,26.0,,19.0
